Bincenters,tof
3235,30.733127886668
3245,80.7891729089851
3255,46.3574352804192
3265,51.7891729089851
3275,40.1498777411217
3285,48.9162507277314
3295,51.1088204929167
3305,33.4695253250534
3315,28.0433285464778
3325,32.0788449446924
3335,27.7031523384436
3345,36.8246893071997
3355,44.342447506307
3365,63.8396770813119
3375,64.8041606830972
3385,51.0472346206093
3395,77.6005092179313
3405,113.783632058995
3415,42.9911895982923
3425,52.6715420143606
3435,99.0267059965069
3445,104.467890549195
3455,130.290308558121
3465,150.42683330099
3475,198.761468659034
3485,226.223181835824
3495,224.374694352804
3505,206.709329710848
3515,286.819784979624
3525,296.077846691248
3535,285.657190762663
3545,299.677719386765
3555,214.440186299243
3565,219.501772171551
3575,161.613862216185
3585,168.193206287599
3595,114.929603725985
3605,88.9556732000776
3615,55.4434558509606
3625,64.0677632447118
3635,64.8901812536387
3645,79.4639844750631
3655,78.5500050456045
3665,75.8041606830972
3675,58.0322468464972
3685,72.9667549000582
3695,42.7536565107704
3705,73.0227999223753
3715,59.7386687366583
3725,29.1648655152339
3735,58.8807343295168
3745,37.6976114884533
3755,65.6321195420144
3765,69.4545375509412
3775,34.3479883562973
3785,52.7591973607607
3795,38.1293491170192
3805,59.3835047545119
3815,48.0788449446924
3825,56.2564269357656
3835,49.6115909179119
3845,40.5910622938094
3855,54.5555458955948
3865,65.5200294973802
3875,42.951767125946
3885,47.2564269357656
3895,52.951767125946
3905,64.6321195420144
3915,41.3984925286241
3925,51.9162507277314
3935,37.4695253250534
3945,44.4340089268387
3955,31.7386687366583
3965,38.8507587812925
3975,34.5105825732583
3985,19.3779639045216
3995,44.5816153696876
4005,41.7591973607607
4015,23.4190211527266
4025,53.7386687366583
4035,39.2003819134485
4045,32.8452179313022
4055,27.7741851348729
4065,69.3984925286241
4075,68.4695253250534
4085,36.9667549000582
4095,52.5405581214826
4105,46.3069311080924
4115,63.8097015330875
4125,39.7031523384436
4135,40.3984925286241
4145,33.5405581214826
4155,43.2919433339802
4165,38.83023015719
4175,67.155418591112
4185,46.992824374151
4195,35.114361342907
4205,25.4340089268387
4215,54.5105825732583
4225,46.9217915777217
4235,47.2919433339802
4245,44.83023015719
4255,65.2919433339802
4265,55.8807343295168
4275,51.0938327188046
4285,49.3274597321948
4295,37.8097015330875
4305,73.0433285464778
4315,37.2003819134485
4325,40.7741851348729
4335,53.7181401125558
4345,57.667635940229
4355,68.6321195420144
4365,55.7031523384436
4375,37.9012629536193
4385,39.0227999223753
4395,46.5405581214826
4405,34.6321195420144
4415,39.5610867455851
4425,50.6826237143412
4435,56.4545375509412
4445,27.6620950902387
4455,55.1853941393363
4465,61.0733040947021
4475,48.6265786920241
4485,42.9667549000582
4495,53.0677632447118
4505,76.1387960411411
4515,59.1182674170386
4525,81.7070584125752
4535,102.219275761692
4545,110.680988938482
4555,125.89408732777
4565,69.8624770036872
4575,101.019530370658
4585,153.481243547448
4595,162.221547059965
4605,200.799256355521
4615,232.848125751989
4625,309.024072967204
4635,368.153422084223
4645,426.43201241995
4655,486.841586648554
4665,595.980382689695
4675,828.732404424607
4685,1173.4140298855
4695,1704.24553308752
4705,2175.03534251892
4715,2361.64139258684
4725,1989.12463264118
4735,1508.48015835436
4745,1088.01717213274
4755,845.625855229963
4765,759.131895206676
4775,737.671816805744
4785,767.686804579856
4795,831.827235396856
4805,671.241713953037
