------ Begin Next Fly'm ------


"Begin Fly'm (Mon Jul 17 14:42:45 2017)"
"Ions Flown Separately, Comp Quality(10)"
"Number of Ions to Fly = 100"
"Changes:","Mass","Charge","X","Y","Z","KE","Azm","Elv","Time of Birth"
" ","NO ","NO ","YES","YES","YES","YES","YES","YES","NO "


"Ion N","Events","TOF","Mass","Charge","X","Y","Z","E","KE"

        47,         4,2.148664356,         5,         1,871.9999995,13.21903053,14.71190035,-2100.000044,2349.265194
        48,         1,         0,         5,         1,120.0385943,-0.127907753,0.00462675723,238.6767683,3.041081046
        48,         4,2.159869647,         5,         1,871.9999998,-10.81563381,-6.155217494,-2100.000017,2341.592709
        49,         1,         0,         5,         1,119.9416827,0.008320842559,-0.1178269625,241.9994497,3.189993898
        49,         4,2.149541012,         5,         1,871.9999991,-9.793027506,17.44770526,-2100.000071,2346.587287
        50,         1,         0,         5,         1,120.1965388,-0.0938909037,0.001654919717,233.2615274,3.107721718
        50,         4,2.134170262,         5,         1,871.9999993,-8.150592207,-9.497418053,-2100.00005,2336.342751
        51,         1,         0,         5,         1,119.9410077,0.005878121419,-0.142314961,242.022592,3.127401115
        51,         4,2.143511898,         5,         1,871.9999998,16.52212587,-12.045418,-2100.000021,2345.278206
        52,         1,         0,         5,         1,120.0717086,-0.08781406894,-0.09930737618,237.5414206,3.066061406
        52,         4,2.158725168,         5,         1,871.9999997,13.80580888,1.475621301,-2100.00002,2340.991645
        53,         1,         0,         5,         1,120.0318164,-0.1442964702,-0.01580985849,238.9091506,2.977021493
        53,         4,2.148714732,         5,         1,871.9999992,-13.35327196,14.53149979,-2100.000065,2342.362277
        54,         1,         0,         5,         1,119.8861487,-0.0488971614,-0.1072924165,243.9034746,2.920319146
        54,         4,2.163052023,         5,         1,871.9999993,-1.318278972,-2.663646458,-2100.000041,2346.624801
        55,         1,         0,         5,         1,120.0496118,-0.09044936313,-0.02345806109,238.2990254,2.953935876
        55,         4,2.150849545,         5,         1,871.9999992, 16.607237,-9.435124899,-2100.000064,2341.18406
        56,         1,         0,         5,         1,120.0734743,-0.1055877004,-0.1912469436,237.4808817,3.091659657
        56,         4,2.157613494,         5,         1,871.9999996,-13.31699318,-6.941487682,-2100.000032,2341.328494
        57,         1,         0,         5,         1,120.0353509,-0.005953821674,0.0008197533617,238.7879698,2.892675257
