Bincenters,m2q
60.35,4.06774849059683
60.45,23.8836612205768
60.55,3.43592303063681
60.65,10.981053420634
60.75,17.630707430751
60.85,17.7174025007139
60.95,43.2660986007425
61.05,16.8112289907396
61.15,18.5440123607881
61.25,17.6414045608453
61.35,26.4537515807939
61.45,24.9228840309224
61.55,27.919318320891
61.65,35.4608830008567
61.75,19.1069713009423
61.85,15.2981899910252
61.95,34.4751458409823
62.05,21.8397546709909
62.15,51.1319312711622
62.25,21.6627988210337
62.35,35.5832351711337
62.45,30.5939323012279
62.55,39.6841930812222
62.65,46.507237231265
62.75,61.8718460612736
62.85,47.6046294313222
62.95,59.5974980112593
63.05,65.7922824113735
63.15,71.7127187614735
63.25,48.1461941112879
63.35,62.4169764512708
63.45,32.3231499612451
63.55,33.6188922714478
63.65,58.6948902113164
63.75,60.7922824113735
63.85,52.4419364214907
63.95,61.0808933015135
64.05,66.2614148615021
64.15,72.4561992616163
64.25,80.6438522416677
64.35,89.4597649716477
64.45,96.6688122118876
64.55,97.4954220719618
64.65,107.867162322033
64.75,152.430121262187
64.85,125.72586357239
64.95,149.708035022233
65.05,129.545342012402
65.15,143.62133995227
65.25,132.513250622119
65.35,159.051249592053
65.45,117.693772182107
65.55,128.134378951985
65.65,101.293506251785
65.75,141.398029871905
65.85,107.477593521805
65.95,78.6616807918248
66.05,104.994198231551
66.15,118.925331711745
66.25,131.112984691796
66.35,101.665246501856
66.45,106.004895361645
66.55,109.914634581651
66.65,110.737678731693
66.75,108.477593521805
66.85,151.57142001183
66.95,149.390898451842
67.05,118.20324547179
67.15,142.459764971648
67.25,105.351675641496
67.35,49.9941982315506
67.45,78.3338470913393
67.55,59.1426284012565
67.65,51.0309733610737
67.75,42.489408681108
67.85,50.7494938909966
67.95,42.5582752009138
68.05,58.0202762309795
68.15,53.4644487108881
68.25,58.3634908007996
68.35,21.2696643107739
68.45,22.3563593807368
68.55,18.3527936707054
68.65,25.5368809407253
68.75,13.7102710806511
68.85,33.2660986007425
68.95,16.4394887406682
69.05,28.5261838106311
69.15,26.8005318606454
69.25,16.0677484905968
69.35,12.060617070534
69.45,18.8800955105454
69.55,10.6057474605311
69.65,15.5950503304369
69.75,13.5190523905683
69.85,21.1437464304655
69.95,10.8729640904826
70.05,7.78270331048832
70.15,19.324267990454
70.25,-4.13060161954881
70.35,12.5047895504426
70.45,10.692442530494
70.55,4.96322487047689
70.65,27.6021817504997
70.75,20.7791376004569
70.85,11.3278337004855
70.95,13.6888768204626
71.05,-0.220862399543094
71.15,10.8729640904826
71.25,18.5986160404683
71.35,-7.1270359095174
71.45,12.2304415004283
71.55,5.33139941051687
71.65,6.9667905805083
71.75,19.6057474605311
71.85,9.51192097050544
71.95,14.3420965406111
72.05,1.78626902051973
72.15,25.244704340554
72.25,18.8800955105454
72.35,18.3313994105169
72.45,23.4216601905112
72.55,10.3456622506425
72.65,19.7898347305511
72.75,27.3349651205483
72.85,2.5261838106311
72.95,29.9739220005711
73.05,28.3385308305797
73.15,15.4359230306368
73.25,9.07844562069107
73.35,32.0713142006282
73.45,37.0748799106596
73.55,13.9846191306654
73.65,26.3492279606739
73.75,3.0891427507853
73.85,15.5404466507567
73.95,4.09627417084812
74.05,22.6271417207196
74.15,49.4573172908253
74.25,31.3599250907682
74.35,11.0998398808795
74.45,3.36349080079958
74.55,24.551143780851
74.65,14.2839271508995
74.75,39.0167105209481
74.85,28.0274076510423
74.95,21.8540175111166
75.05,34.7459281809652
75.15,51.9442782911108
75.25,54.3124528311508
75.35,52.2328891812508
75.45,44.3231499612451
75.55,86.9763696813936
75.65,48.2507177314078
75.75,58.997763941582
75.85,100.463330681679
75.95,75.2068111818219
76.05,98.4954220719618
76.15,127.690206472076
76.25,78.3362947721617
76.35,157.097603822462
76.45,148.757954962673
76.55,178.060828692938
76.65,230.80074348305
76.75,216.818572033207
76.85,231.471791753355
76.95,232.677273283564
77.05,264.395793813487
77.15,258.843532003427
77.25,252.381530973361
77.35,251.829269163301
77.45,201.461094623261
77.55,175.977699333007
77.65,192.898135683107
77.75,200.241350252927
77.85,159.237784542896
77.95,158.974133622976
78.05,158.237784542896
78.15,178.88030713295
78.25,188.869610002856
78.35,198.61665621303
78.45,195.710482703056
78.55,241.388662393424
78.65,196.450397493167
78.75,252.176049443153
78.85,228.269875933178
78.95,227.554921113287
79.05,228.915964233264
79.15,232.320913902827
79.25,262.154655182964
79.35,192.025171592624
79.45,193.732994992453
79.55,153.808992932322
79.65,126.968120232122
79.75,163.14864179211
79.85,128.141510372047
79.95,80.4918563619304
80.05,118.474027811773
80.15,113.824373801656
80.25,99.629589401542
80.35,99.813676671562
80.45,92.6188922714478
80.55,51.6367208216049
80.65,84.9692382613307
80.75,68.7020216313793
80.85,85.0666304613878
80.95,76.4169764512708
81.05,101.691324501285
81.15,75.041670491168
81.25,75.3088871211194
81.35,48.6556674009709
81.45,61.4644487108881
81.55,53.5547094908824
81.65,40.0998398808795
81.75,47.5404466507567
81.85,54.1722721107168
81.95,33.5297495206625
82.05,47.8979240607025
82.15,27.6164445906254
82.25,7.34209654061111
82.35,21.1651406906539
82.45,26.7067053706197
82.55,27.9703562905397
82.65,13.6057474605311
82.75,1.88722693060825
82.85,4.33139941051687
82.95,14.4252259005426
83.05,21.9667905805083
83.15,16.2411386305226
83.25,27.244704340554
83.35,20.3313994105169
83.45,26.8729640904826
83.55,18.0427885203769
83.65,6.04635423040835
83.75,16.3278337004855
83.85,0.959659160445483
83.95,7.05348565047117
84.05,4.14374643046547
84.15,15.6817454003998
84.25,6.51192097050544
84.35,13.692442530494
84.45,15.7791376004569
84.55,15.5986160404683
84.65,5.41096306041692
84.75,18.0463542304084
84.85,7.31713657039123
84.95,13.7755718904255
85.05,14.692442530494
85.15,17.2340072104598
85.25,22.6853111104312
85.35,17.9525277403826
85.45,9.14374643046547
85.55,8.68887682046261
85.65,12.6888768204626
85.75,3.96322487047689
85.85,19.9560934504141
85.95,2.14731214049688
86.05,15.692442530494
86.15,8.50835526047403
86.25,18.6021817504997
86.35,10.5154866805369
86.45,1.14731214049688
86.55,0.970356290539712
86.65,24.6888768204626
86.75,4.0570513605026
86.85,20.2375729204912
86.95,25.9632248704769
87.05,12.8729640904826
87.15,10.6960082405254
87.25,11.692442530494
87.35,15.5119209705054
87.45,5.68887682046261
87.55,34.6888768204626
87.65,28.0641827805654
87.75,12.060617070534
87.85,4.34209654061111
87.95,13.1508778505283
88.05,9.88722693060825
88.15,19.428791610574
88.25,18.0677484905968
88.35,4.79696615061397
88.45,9.89079264063966
88.55,24.6093131705626
88.65,0.988184840696789
88.75,21.6271417207196
88.85,39.262532890711
88.95,39.182969240811
89.05,24.1687064006854
89.15,17.4430544506996
89.25,21.8290575408967
89.35,39.0820113307225
89.45,46.367056510831
89.55,60.2874928609309
89.65,58.2874928609309
89.75,51.0202762309795
89.85,59.568972331008
89.95,56.384885060988
90.05,49.8504518010851
90.15,68.2150606310937
90.25,63.2328891812508
90.35,80.3267156712765
90.45,95.795848121405
90.55,64.8065452514992
90.65,111.001329651613
90.75,104.726981601599
90.85,78.8315052217191
90.95,71.4561992616163
91.05,123.015592491739
91.15,128.643852241668
91.25,111.820808091625
91.35,133.001329651613
91.45,88.6188922714478
91.55,92.0701961714192
91.65,103.705587341411
91.75,73.5250657814221
91.85,72.059499041325
91.95,67.427673581365
92.05,68.4312392913964
92.15,87.2257577611879
92.25,97.9692382613307
92.35,50.6010637212908
92.45,82.5796694611023
92.55,52.1354969811937
92.65,53.857583221148
92.75,64.2150606310937
92.85,51.9549754212051
92.95,55.2293234712193
93.05,56.673495951128
93.15,63.4751458409823
93.25,70.1176684310366
93.35,59.5547094908824
93.45,47.4537515807939
93.55,48.9050554807653
93.65,36.7387967609024
93.75,31.5440123607881
93.85,20.2589671806796
93.95,10.2732300208053
94.05,40.4430544506996
94.15,36.4394887406682
94.25,29.8040975706768
94.35,36.7102710806511
94.45,4.80053186064538
94.55,8.34922796067394
94.65,22.9774877106025
94.75,8.34209654061111
94.85,10.8872269306083
94.95,27.8729640904826
95.05,28.7898347305511
95.15,12.8800955105454
95.25,25.1473121404969
95.35,22.244704340554
95.45,24.7862690205197
95.55,11.8693983804512
95.65,15.6853111104312
95.75,1.68887682046261
95.85,10.5119209705054
95.95,5.32426799045405
96.05,15.3207022804226
96.15,11.7755718904255
96.25,7.50478955044262
96.35,5.04635423040835
96.45,-8.2244281095745
96.55,10.9596591604455
96.65,-10.8633849895973
96.75,23.7720061803941
96.85,11.1366150104027
96.95,18.9525277403826
97.05,7.77200618039407
97.15,11.3207022804226
97.25,7.95252774038265
97.35,15.2197443703341
97.45,12.7720061803941
97.55,24.5047895504426
97.65,10.8622669603884
97.75,4.40739735038551
97.85,23.1259178803084
97.95,21.4976581303798
98.05,15.2197443703341
98.15,13.4976581303798
98.25,10.6853111104312
98.35,7.40739735038551
98.45,11.4976581303798
98.55,15.8551355403255
98.65,16.8658326704198
98.75,14.5879189103741
98.85,7.32070228042264
98.95,4.76844047036266
99.05,9.58791891037409
99.15,-3.13773303961163
99.25,18.1259178803084
99.35,15.9525277403826
99.45,20.5879189103741
99.55,11.490526710317
99.65,22.490526710317
99.75,-1.68642913964018
99.85,9.85870125035696
99.95,-8.13773303961163
100.05,20.2161786603027
100.15,26.4002659303227
100.25,10.490526710317
100.35,7.4038316403541
100.45,3.22331008036552
100.55,7.04278852037694
100.65,1.22331008036552
100.75,13.7720061803941
100.85,8.32070228042264
100.95,8.4976581303798
101.05,14.0427885203769
101.15,13.6817454003998
101.25,19.4038316403541
101.35,26.0463542304084
101.45,25.0392228103455
101.55,1.04991994043976
101.65,17.7755718904255
101.75,-12.9500800595602
101.85,12.1437464304655
101.95,2.59505033043692
102.05,14.0499199404398
102.15,9.95252774038265
102.25,25.0427885203769
102.35,9.50122384041121
102.45,11.1473121404969
102.55,13.2233100803655
102.65,20.6888768204626
102.75,21.8693983804512
102.85,19.0392228103455
102.95,23.5012238404112
103.05,11.1401807204341
103.15,23.9632248704769
103.25,14.692442530494
103.35,12.2375729204912
103.45,14.6888768204626
103.55,17.9632248704769
103.65,34.0570513605026
103.75,37.4180944804798
103.85,5.59861604046833
103.95,13.2482700505854
104.05,24.876529800514
104.15,5.23400721045975
104.25,7.6853111104312
104.35,20.2411386305226
104.45,15.5154866805369
104.55,15.876529800514
104.65,16.7862690205197
104.75,30.4145287704483
104.85,27.3207022804226
104.95,16.1437464304655
105.05,28.796966150614
105.15,30.9632248704769
105.25,22.692442530494
105.35,20.1473121404969
105.45,12.8836612205768
105.55,30.4216601905112
105.65,6.59861604046833
105.75,18.4180944804798
105.85,39.4145287704483
105.95,28.9703562905397
106.05,9.87652980051402
106.15,12.9596591604455
106.25,12.3207022804226
106.35,15.1437464304655
106.45,26.9667905805083
106.55,27.7791376004569
106.65,14.3278337004855
106.75,4.88009551054543
106.85,19.324267990454
106.95,22.0570513605026
107.05,36.5012238404112
107.15,14.692442530494
107.25,20.2340072104598
107.35,27.9560934504141
107.45,11.508355260474
107.55,16.4180944804798
107.65,33.2411386305226
107.75,6.50478955044262
107.85,10.2375729204912
107.95,29.0463542304084
108.05,17.6817454003998
108.15,13.674613980337
108.25,5.50122384041121
108.35,16.7720061803941
108.45,12.8622669603884
108.55,21.1366150104027
108.65,14.0427885203769
108.75,16.4073973503855
108.85,-6.49521044955738
108.95,12.2233100803655
109.05,12.5879189103741
109.15,4.40739735038551
109.25,11.8622669603884
109.35,6.12948359033982
109.45,4.49409242034839
109.55,13.1330493003712
109.65,7.04635423040835
109.75,4.4038316403541
109.85,6.94539632031983
109.95,-5.5023418696202
110.05,8.03209139028271
110.15,4.67461398033697
110.25,24.4038316403541
110.35,11.9489620303512
110.45,-2.5023418696202
110.55,-5.68642913964018
110.65,3.67461398033697
110.75,5.21974437033411
110.85,9.48696100028556
110.95,3.4038316403541
111.05,6.40739735038551
111.15,3.12948359033982
111.25,23.1259178803084
111.35,-8.87051640966018
111.45,4.95252774038265
111.55,6.2161786603027
111.65,11.1259178803084
111.75,10.4038316403541
111.85,-3.14486445967446
111.95,16.2197443703341
112.05,5.76844047036266
112.15,8.12948359033982
112.25,10.9489620303512
112.35,22.8551355403255
112.45,18.7648747603313
112.55,0.216178660302695
112.65,16.7684404703627
112.75,24.2161786603027
112.85,-0.0546036796801701
112.95,15.5807874903113
113.05,3.67461398033697
113.15,7.31713657039123
113.25,6.67461398033697
113.35,13.306439440297
113.45,1.67817969036838
113.55,15.7648747603313
113.65,8.58435320034268
113.75,10.3135708603598
113.85,10.9489620303512
113.95,18.0463542304084
114.05,7.77200618039407
114.15,5.12948359033982
114.25,16.5012238404112
114.35,11.324267990454
114.45,17.3135708603598
114.55,4.50122384041121
114.65,11.0392228103455
114.75,14.7755718904255
114.85,19.0392228103455
114.95,4.22331008036552
115.05,15.4109630604169
115.15,3.94539632031983
115.25,12.4940924203484
115.35,2.6853111104312
115.45,11.2197443703341
115.55,6.32070228042264
115.65,8.85870125035696
115.75,5.77200618039407
115.85,20.3100051503284
115.95,-0.780255629665888
116.05,3.94896203035124
116.15,21.1330493003712
116.25,2.22331008036552
116.35,2.31713657039123
116.45,20.5807874903113
116.55,11.5843532003427
116.65,19.5807874903113
116.75,6.68174540039979
116.85,9.31357086035982
116.95,11.0356571003141
117.05,3.58078749031127
117.15,13.1294835903398
117.25,9.22331008036552
117.35,6.22331008036552
117.45,16.7720061803941
117.55,1.85156983029413
117.65,7.21974437033411
117.75,13.6781796903684
117.85,17.7613090502998
117.95,10.7684404703627
118.05,13.4940924203484
118.15,25.4940924203484
118.25,2.76487476033125
118.35,12.3135708603598
118.45,7.94896203035124
118.55,1.67461398033697
118.65,13.4940924203484
118.75,22.8551355403255
118.85,10.6710482703056
118.95,10.9453963203198
119.05,12.5879189103741
119.15,-0.505907579651605
119.25,4.67817969036838
119.35,12.4940924203484
119.45,17.4073973503855
119.55,6.76487476033125
119.65,8.40739735038551
119.75,16.9453963203198
119.85,6.12948359033982
119.95,15.9489620303512
120.05,3.4038316403541
120.15,4.3100051503284
120.25,14.674613980337
120.35,6.85513554032554
120.45,0.674613980336972
120.55,3.48696100028556
120.65,3.12591788030841
120.75,13.3100051503284
120.85,15.4869610002856
120.95,9.4038316403541
121.05,1.58435320034268
121.15,0.494092420348395
121.25,10.0356571003141
121.35,13.122352170277
121.45,12.3100051503284
121.55,-8.86695069962877
121.65,10.4002659303227
121.75,3.95609345041407
121.85,8.12591788030841
121.95,10.4002659303227
122.05,11.122352170277
122.15,-0.870516409660183
122.25,24.490526710317
